"GPIO",                                                   "Native Fn 1",                                                                           "Native Fn 2",                    "Native Fn 3",        "Native Fn 4",    "n/a",  "Native Fn 5",  "n/a",  "Native Fn 7",
"Primary Well Group F [1.8 V only]",                      "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_F04",                                                 "CNV_RF_RESET_N",                                                                        "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_F07",                                                 "EMMC_CMD",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_F08",                                                 "EMMC_DATA0",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_F09",                                                 "EMMC_DATA1",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_F10",                                                 "EMMC_DATA2",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_F11",                                                 "EMMC_DATA3",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_F12",                                                 "EMMC_DATA4",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_F13",                                                 "EMMC_DATA5",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_F14",                                                 "EMMC_DATA6",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_F15",                                                 "EMMC_DATA7",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_F16",                                                 "EMMC_RCLK",                                                                             "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_F17",                                                 "EMMC_CLK",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_F18",                                                 "EMMC_RESET_N",                                                                          "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"Primary Well Group G (Per-Pad 1.8 V or 3.3 V)",          "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_G00",                                                 "SD_SDIO_CMD",                                                                           "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_G01",                                                 "SD_SDIO_D0",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_G02",                                                 "SD_SDIO_D1",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_G03",                                                 "SD_SDIO_D2",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_G04",                                                 "SD_SDIO_D3",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_G05",                                                 "SD_SDIO_CD_N",                                                                          "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_G06",                                                 "SD_SDIO_CLK",                                                                           "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_G07",                                                 "SD_SDIO_WP",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"Primary Well Group H (Per-Pad 1.8 V or 3.3 V)",          "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H00",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H01",                                                 "SD_SDIO_PWR_EN_N",                                                                      "n/a",                            "CNV_RF_RESET_N",     "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H02",                                                 "n/a",                                                                                   "n/a",                            "MODEM_CLKREQ",       "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H03",                                                 "SX_EXIT_HOLDOFF_N",                                                                     "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H04",                                                 "I2C2_SDA",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H05",                                                 "I2C2_SCL",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H06",                                                 "I2C3_SDA",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H07",                                                 "I2C3_SCL",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H08",                                                 "I2C4_SDA",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H09",                                                 "I2C4_SCL",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H10",                                                 "CPU_C10_GATE_N",                                                                        "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H11",                                                 "AVS_I2S2_SCLK",                                                                         "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H12",                                                 "AVS_I2S2_SFRM",                                                                         "CNV_RF_RESET_N",                 "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H13",                                                 "AVS_I2S2_TXD",                                                                          "MODEM_CLKREQ",                   "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H14",                                                 "AVS_I2S2_RXD",                                                                          "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GPP_H15",                                                "AVS_I2S1_SCLK",                                                                         "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H16",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H17",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H18",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_H19",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"Primary Well Group R (Per-Pad 1.8 V or 3.3 V)",          "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_R00",                                                 "HDA_BCLK",                                                                              "AVS_I2S0_SCLK",                  "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_R01",                                                 "HDA_SYNC",                                                                              "AVS_I2S0_SFRM",                  "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_R02",                                                 "HDA_SDO",                                                                               "AVS_I2S0_TXD",                   "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_R03",                                                 "HDA_SDI0",                                                                              "AVS_I2S0_RXD",                   "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_R04",                                                 "HDA_RST_N",                                                                             "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_R05",                                                 "HDA_SDI1",                                                                              "AVS_I2S1_RXD",                   "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_R06",                                                 "AVS_I2S1_SFRM",                                                                         "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_R07",                                                 "AVS_I2S1_TXD",                                                                          "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"Primary Well Group S [1.8 V only]",                      "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_S00",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_S01",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_S02",                                                 "n/a",                                                                                   "DMIC_CLK_1",                     "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_S03",                                                 "n/a",                                                                                   "DMIC_DATA_1",                    "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_S04",                                                 "SNDW1_CLK",                                                                             "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_S05",                                                 "SNDW1_DATA",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_S06",                                                 "n/a",                                                                                   "DMIC_CLK_0",                     "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_S07",                                                 "n/a",                                                                                   "DMIC_DATA_0",                    "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"Deep Sleep Well Group (3.3 V)",                          "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_DSW00",                                               "PMC_BATLOW_N",                                                                          "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_DSW01",                                               "PMC_ACPRESENT",                                                                         "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_DSW02",                                               "LAN_WAKE_N",                                                                            "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
